Numer og≥oszenia,nazwa zamawiajπcego,Rodzaj zamÛwienia,cpv,Tryb udzielenia zamÛwienia,Ca≥kowita wartoúÊ zamÛwienia bez vat,Liczba otrzymanych ofert,Cena wybranej oferty,Oferta z najniøszπ cenπ,Oferta z najwyøszπ cenπ,wykonawcy
 330588 - 2015, Resortowe Centrum Zarzπdzania Sieciami i Us≥ugami Teleinformatycznymi, Roboty budowlane.," 45.30.00.00-0, 45.23.20.00-2, 45.23.23.00-5.", Przetarg ograniczony," 1530776,00 PLN.", 4.," 1530776,00"," 1530776,00 "," 2027664,72","ELEKTROTIM S.A., ul. Stargardzka 8, 54-156 Wroc≥aw, kraj/woj. dolnoúlπskie."
 334954 - 2015, Resortowe Centrum Zarzπdzania Sieciami i Us≥ugami Teleinformatycznymi, Roboty budowlane.," 45.23.10.00-5, 45.31.43.20-0, 45.31.12.00-3.", Przetarg ograniczony," 2331800,00 PLN.", 4.," 2577901,06"," 1903773,37 "," 2801186,92","Lubelskie PrzedsiÍbiorstwo RobÛt Telekomunikacyjnych S.A., ul. EnergetykÛw 27, 20-468 Lublin, kraj/woj. lubelskie."
 343336 - 2015, Resortowe Centrum Zarzπdzania Sieciami i Us≥ugami Teleinformatycznymi, Roboty budowlane.," 45.23.10.00-5, 45.31.43.20-0, 45.31.12.00-3.", Przetarg ograniczony," 1293480,00 PLN.", 5.," 1196179,50"," 1196179,50 "," 1546912,91","ATEM Polska Sp.z o.o., ul. £uøycka 2, 81-537 Gdynia, kraj/woj. zachodniopomorskie."
 347156 - 2015, Resortowe Centrum Zarzπdzania Sieciami i Us≥ugami Teleinformatycznymi, Roboty budowlane.," 45.31.40.00-1, 45.40.00.00-1, 45.31.12.00-3, 45.31.20.00-7.", Przetarg ograniczony," 751889,54 PLN.", 5.," 822943,80"," 822943,80 "," 1839355,04","BIT S.A., Al. Jana Paw≥a II 23, 00-854 Warszawa, kraj/woj. mazowieckie."
 356158 - 2015, ZespÛ≥ Ø≥obkÛw m.st. Warszawy, Roboty budowlane., 45.00.00.00-7., Przetarg ograniczony," 464497,37 PLN.", 5.," 301010,26"," 289013,04 "," 519098,08","Sebud PrzedsiÍbiorstwo Remontowo-Budowlane Sebastian åwiÍciÒski, os. Po≥udnie 23a, 19-200 Grajewo, kraj/woj. podlaskie."
 497 - 2016, Komenda WojewÛdzka Policji we Wroc≥awiu, Roboty budowlane.," 45.31.00.00-3, 45.31.10.00-0, 45.31.22.00-9, 45.31.70.00-2.", Przetarg ograniczony," 988995,60 PLN.", 1.," 1344124,37"," 1344124,37 "," 1344124,37","OPTeam SpÛ≥ka Akcyjna 36-002 Jasionka ; TajÍcina 113, TajÍcina 113, 36-002 Jasionka, kraj/woj. podkarpackie."
 3990 - 2016, Ministerstwo Obrony Narodowej, Roboty budowlane.," 45.31.12.00-2, 45.31.22.00-9, 45.31.21.00-8, 45.33.00.00-9, 45.45.30.00-7.", Przetarg ograniczony," 3999477,32 PLN.", 2.," 4986888,17"," 4986888,17 "," 5504430,13","konsorcjum: QUMAK S.A. (lider konsorcjum), Al. Jerozolimskie 134, 02-305 Warszawa i JAKUSZ Sp. z o.o., ul. Przemys≥owa 40, 83-400 Koúcierzyna, Al. Jerozolimskie 134, 02-305 Warszawa, kraj/woj. mazowieckie."
 4478 - 2016, Nadleúnictwo Jedwabno, Roboty budowlane.," 45.26.28.00-9, 45.11.10.00-8, 45.22.30.00-6, 45.22.31.00-7, 45.23.13.00-8, 45.23.22.00-4, 45.26.10.00-4, 45.31.00.00-3, 45.31.12.00-2, 45.31.60.00-5, 45.31.40.00-1, 45.33.11.00-7, 45.33.12.10-1, 45.33.12.30-7, 45.33.23.00-6, 45.41.00.00-4, 45.42.10.00-4, 45.43.00.00-0, 45.44.21.00-8, 45.31.20.00-7, 45.31.43.10-7.", Przetarg ograniczony," 3123704,05 PLN.", 5.," 3190154,63"," 3190154,63 "," 4666217,47","PrzedsiÍbiorstwa Budownictwa OgÛlnego BUDOPRZEM sp. z o.o., 10-012 Olsztyn, ul. Orkana 5b, 10-012 Olsztyn, kraj/woj. warmiÒsko-mazurskie."
 1853 - 2016, 12 Terenowy Oddzia≥ Lotniskowy, Roboty budowlane.," 71.22.10.00-3, 45.30.00.00-0, 45.40.00.00-1.", Przetarg ograniczony," 520169,77 PLN.", 4.," 899174,08"," 899174,08 "," 1599000,00","Centrum Informatyki ZETO S.A., ul. Skorupska 9, 15-048 Bia≥ystok, kraj/woj. podlaskie."
 1881 - 2016, 12 Terenowy Oddzia≥ Lotniskowy, Roboty budowlane.," 71.22.10.00-3, 45.30.00.00-0, 45.40.00.00-1.", Przetarg ograniczony," 520169,77 PLN.", 4.," 899174,08"," 899174,08 "," 1599000,00","Centrum Informatyki ZETO S.A., ul. Skorupska 9, 15-048 Bia≥ystok, kraj/woj. podlaskie."
 2265 - 2016, 12 Terenowy Oddzia≥ Lotniskowy, Roboty budowlane.," 71.22.10.00-3, 45.30.00.00-0, 45.40.00.00-1.", Przetarg ograniczony," 520169,77 PLN.", 4.," 899174,08"," 899174,08 "," 1599000,00","Centrum Informatyki ZETO S.A., ul. Skorupska 9, 15-048 Bia≥ystok, kraj/woj. podlaskie."
 12670 - 2016, Gmina Miasto OstrÛw Wielkopolski, Roboty budowlane.," 45.00.00.00-7, 45.40.00.00-1, 45.30.00.00-0, 45.35.00.00-5, 45.34.00.00-2, 45.33.00.00-9, 45.32.00.00-6, 45.31.00.00-3, 45.20.00.00-9, 45.21.00.00-2, 45.21.20.00-6, 45.21.21.40-9, 45.21.22.00-8, 45.21.22.20-4, 45.21.22.21-1, 45.21.22.10-1, 45.21.22.13-2, 45.21.22.12-5, 45.21.21.00-7, 45.12.00.00-4, 45.11.00.00-1.", Przetarg ograniczony," 6341463,41 PLN.", 4.," 5199000,00"," 5199000,00 "," 13222500,00","AKVAHELP METAL spol s r.o., ul. Pobrezni 249/46, Praga 186 00, kraj/woj. Czechy."
 10049 - 2016, Urzπd Miejski w Wo≥owie, Roboty budowlane., 45.21.22.20-4., Przetarg ograniczony," 2357723,36 PLN.", 5.," 2153075,12"," 1762061,40 "," 2800749,67","lider konsorcjum: axyo.pl Sp. z o.o., partner konsorcjum: Filifran Sp. z o.o., ul. Pi≥sudskiego 34, 58-500 Jelenia GÛra, kraj/woj. dolnoúlπskie."
 19684 - 2016, Rejonowy Zarzπd Infrastruktury, Roboty budowlane.," 45.31.10.00-0, 45.31.20.00-7.", Przetarg ograniczony," 12891510,71 PLN.", 5.," 15306758,05"," 10196836,95 "," 15749150,58","ELEKTROTIM S.A., ul. Stargardzka 8, 54-156 Wroc≥aw, kraj/woj. dolnoúlπskie."
 19968 - 2016, Miejskie PrzedsiÍbiorstwo Oczyszczania Sp. z o.o., Roboty budowlane., 45.20.00.00-9., Przetarg ograniczony," 2900000,00 PLN.", 5.," 2582235,05"," 2582235,05 "," 3525180,00","Us≥ugi Budowlano - Transportowe ANKO S. Onak, B. Stanaszek Sp. Jawna, ul. Tuchowska 25A, 33-100 TarnÛw, kraj/woj. ma≥opolskie."
 24098 - 2016, Resortowe Centrum Zarzπdzania Sieciami i Us≥ugami Teleinformatycznymi, Roboty budowlane.," 45.23.23.00-5, 45.31.42.00-3, 45.23.23.30-4.", Przetarg ograniczony," 2387481,28 PLN.", 5.," 2324657,97"," 2324657,97 "," 4726971,40","PrzedsiÍbiorstwo Telekomunikacyjne TELEKOM WARMIA Sp.z o.o., ul. Marii Zientary Malewskiej 49, 10-307 Olsztyn, kraj/woj. warmiÒsko-mazurskie."
 282802 - 2015, Towarzystwo Budownictwa Spo≥ecznego Bielawa Sp. z o. o., Roboty budowlane., 45.00.00.00-7., Przetarg ograniczony," 2240000,00 PLN.", 1.," 2716207,20"," 2716207,20 "," 2716207,20","Kazimierz Strzelecki Zak≥ad OgÛlnobudowlany, ul. Lotnicza 10, 58-260 Bielawa, kraj/woj. dolnoúlπskie."
 287344 - 2015, Wroc≥awski Teatr Lalek, Roboty budowlane.," 45.44.21.00-8, 45.31.00.00-3.", Przetarg ograniczony," 217166,79 PLN.", 2.," 282365,01"," 282365,01 "," 284223,40","FALTER-KR”L Sp.z o.o. Prace Pod≥ogowe i Urzπdzanie WnÍtrz Sp.z o.o., Hubska 20, 50-502 Wroc≥aw, kraj/woj. dolnoúlπskie."
 290040 - 2015, Urzπd Miejski w Wo≥owie, Roboty budowlane.," 45.23.31.42-6, 45.23.32.00-7.", Przetarg ograniczony," 270541,56 PLN.", 2.," 134324,55"," 134324,55 "," 180229,80","PrzedsiÍbiorstwo Budowy i Utrzymania DrÛg i MostÛw Sp. z o. o., Piotroniowice 54, 56-100 Wo≥Ûw, kraj/woj. dolnoúlπskie."
 290068 - 2015, Urzπd Miejski w Wo≥owie, Roboty budowlane.," 45.23.31.42-6, 45.23.32.20-7.", Przetarg ograniczony," 462000,00 PLN.", 3.," 255435,32"," 255435,32 "," 362378,39","PrzedsiÍbiorstwo Budowy i Utrzymania DrÛg i MostÛw Sp. z o. o., Piotroniowice 54, 56-100 Wo≥Ûw, kraj/woj. dolnoúlπskie."
 290520 - 2015, Urzπd Miejski w Wo≥owie, Roboty budowlane.," 45.23.31.42-6, 45.23.32.20-7.", Przetarg ograniczony," 347224,01 PLN.", 3.," 200707,89"," 200707,89 "," 284471,63","PrzedsiÍbiorstwo Budowy i Utrzymania DrÛg i MostÛw Sp. z o. o., Piotroniowice 54, 56-100 Wo≥Ûw, kraj/woj. dolnoúlπskie."
 290536 - 2015, Resortowe Centrum Zarzπdzania Sieciami i Us≥ugami Teleinformatycznymi, Roboty budowlane.," 45.30.00.00-0, 45.23.00.00-0, 45.23.23.00-5.", Przetarg ograniczony," 763840,15 PLN.", 4.," 822677,65"," 822677,65 "," 1350818,13","PrzedsiÍbiorstwo Telekomunikacyjne TELEKOM WARMIA Sp. z o.o., ul. M. Zientary Malewskiej 49, 10-307 Olsztyn, kraj/woj. warmiÒsko-mazurskie."
 290576 - 2015, Resortowe Centrum Zarzπdzania Sieciami i Us≥ugami Teleinformatycznymi, Roboty budowlane.," 45.31.43.20-0, 45.23.10.00-5, 45.31.12.00-3.", Przetarg ograniczony," 997214,69 PLN.", 5.," 1062370,45"," 1062370,45 "," 1966302,86","PrzedsiÍbiorstwo Telekomunikacyjne TELEKOM WARMIA Sp. z o.o., ul. M. Zientary Malewskiej 49, 10-307 Olsztyn, kraj/woj. warmiÒsko-mazurskie."
 293586 - 2015, Uniwersytet Medyczny, Roboty budowlane., 45.21.44.00-4., Przetarg ograniczony," 1932028,14 PLN.", 2.," 2391616,29"," 2391616,29 "," 3439116,22","NOWATOR SpÛ≥ka z o.o., ul. Brukowa 26, 91-341 £Ûdü, kraj/woj. ≥Ûdzkie."
 296098 - 2015, Biuro Ochrony Rzπdu, Roboty budowlane.," 45.00.00.00-7, 45.23.13.00-8, 45.23.21.50-8.", Przetarg ograniczony," 296747,97 PLN.", 2.," 288489,57"," 288489,57 "," 294982,04","PG OMEGA PIOTR GARLEJ, ul.Koúciuszki 43, 05-270 Marki, kraj/woj. mazowieckie."
 296670 - 2015, Rejonowy Zarzπd Infrastruktury Zielona GÛra, Roboty budowlane., 45.00.00.00-7., Przetarg ograniczony," 7058414,63 PLN.", 9.," 7270000,00"," 7270000,00 "," 11744518,37","SINEVIA SP. Z O. O., ul. Cha≥ubiÒskiego 3a lok 4, 02-004 Warszawa, kraj/woj. mazowieckie."
 300474 - 2015, Uniwersytet Miko≥aja Kopernika w Toruniu Collegium Medicum im. Ludwika Rydygiera w Bydgoszczy, Roboty budowlane.," 45.00.00.00-7, 71.22.00.00-6, 71.32.00.00-7, 45.11.12.20-6, 45.22.00.00-5, 45.26.00.00-4, 45.26.25.00-6, 45.30.00.00-0, 45.31.00.00-3, 45.32.00.00-6, 45.33.00.00-9, 45.33.11.00-7, 45.33.12.00-8, 45.33.20.00-3, 45.40.00.00-1, 45.41.00.00-4, 45.42.10.00-4, 45.42.11.00-5, 45.43.00.00-0, 45.44.00.00-3, 45.45.30.00-7.", Przetarg ograniczony," 3201422,61 PLN.", 1.," 4095900,00"," 4095900,00 "," 4095900,00","M+W CENTRAL EUROPE GMBH LOTTERBERGSTRASSE 30 70499 STUTTGART, M+W CENTRAL EUROPE SP. Z O.O. ODDZIA£ W POLSCE UL. GRZYBOWSKA 87 00-844 WARSZAWA, LOTTERBERGSTRASSE 30, 70499 STUTTGART, kraj/woj. Niemcy."
 301468 - 2015, Resortowe Centrum Zarzπdzania Sieciami i Us≥ugami Teleinformatycznymi, Roboty budowlane.," 45.30.00.00-0, 45.23.20.00-2, 45.23.23.00-5.", Przetarg ograniczony," 3150210,00 PLN.", 4.," 3332626,72"," 3332626,72 "," 3921364,40","PPHU TELMARK Sp.z o.o., ul. Konstantynowska 83a, 95-100 Zgierz, kraj/woj. ≥Ûdzkie."
 301626 - 2015, Pa≥ac M≥odzieøy, Roboty budowlane., 45.00.00.00-7., Przetarg ograniczony," 770000,00 PLN.", 3.," 935750,00"," 935750,00 "," 935750,00","PrzedsiÍbiorstwo Budowlane M.Minikowicz-M.Minikowicz s.j., ul. I Dywizji im.T.Koúciuszki 8a lok.1, 11-500 Giøycko, kraj/woj. warmiÒsko-mazurskie."
 163757 - 2015, Rejonowy Zarzπd Infrastruktury, Roboty budowlane.," 45.31.22.00-9, 45.31.00.00-3.", Przetarg ograniczony," 1131762,85 PLN.", 2.," 1073155,01"," 1073155,01 "," 1166691,04","Hoffman A.D. Grzegorz Banach Artur Adamczewski Sp. J, Ul. JeleniogÛrska 67, 54-055 Wroc≥aw, kraj/woj. dolnoúlπskie."
 302604 - 2015, Rejonowy Zarzπd Infrastruktury, Roboty budowlane.," 45.31.22.00-9, 45.31.00.00-3.", Przetarg ograniczony," 421562,80 PLN.", 5.," 540115,76"," 506555,64 "," 565687,81","Hoffman A.D. Grzegorz Banach Artur Adamczewski Sp.j., Ul. JeleniogÛrska 67, 54-055 Wroc≥aw, kraj/woj. dolnoúlπskie."
 164631 - 2015, PrzedsiÍbiorstwo Sk≥adowania i Utylizacji OdpadÛw Sp. z o.o., Roboty budowlane.," 45.23.00.00-8, 45.23.13.00-8.", Przetarg ograniczony," 998047,70 PLN.", 5.," 732964,38"," 732964,38 "," 1078256,51","Us≥ugi Transportowo - Budowalne Bogus≥aw Stanek, ul. Stefczyka 82 , Bachowice, 34-116 Spytkowice, kraj/woj. ma≥opolskie."
 166277 - 2015, Rejonowy Zarzπd Infrastruktury, Roboty budowlane.," 45.00.00.00-7, 45.23.31.20-6, 45.23.32.22-1, 45.23.13.00-8, 45.33.22.00-5, 45.33.12.00-8, 45.31.00.00-3, 45.31.61.00-6, 45.31.21.00-8, 45.31.40.00-1, 45.23.10.00-5, 45.31.20.00-7, 45.31.43.00-4, 45.20.00.00-9, 45.31.11.00-1, 45.31.10.00-0, 45.31.22.00-9.", Przetarg ograniczony," 3852842,30 PLN.", 4.," 3498000,00"," 3498000,00 "," 3788295,97","Zak≥ad Remontowo - Budowlany TYM-BUD Waldemar Tymoszewski, ul. Komunalna 12, Pruszcz GdaÒski, kraj/woj. Polska."
 168039 - 2015, Wroc≥awski Park Technologiczny S.A., Roboty budowlane.," 45.00.00.00-7, 45.30.00.00-0, 45.40.00.00-1.", Przetarg ograniczony," 1920346,18 PLN.", 2.," 2986888,86"," 2986888,86 "," 3459031,20","SKANSKA S.A., ul. Gen. J. Zajπczka 9, 01-518 Warszawa, kraj/woj. mazowieckie."
 169255 - 2015, Wojskowy Zarzπd Infrastruktury w Poznaniu, Roboty budowlane., 45.00.00.00-7., Przetarg ograniczony," 1349183,76 PLN.", 2.," 1225825,55"," 1225825,55 "," 1693418,27","CIEP£OWNIK EKOINWESTYCJE Sp. z o. o. Sp. k., ul. Grunwaldzka 475, 62-064 Plewiska, kraj/woj. wielkopolskie."
 311454 - 2015, Rejonowy Zarzπd Infrastruktury, Roboty budowlane.," 45.00.00.00-7, 45.30.00.00-0, 45.11.12.91-4, 71.24.00.00-2.", Przetarg ograniczony," 6966704,00 PLN.", 3.," 5884790,81"," 5884790,81 "," 7718254,66","BWG Ebit Sp. z o.o., Plac Rod≥a 8, 70-419 Szczecin, kraj/woj. zachodniopomorskie."
 251858 - 2015, Resortowe Centrum Zarzπdzania Sieciami i Us≥ugami Teleinformatycznymi, Roboty budowlane.," 45.31.43.20-0, 45.23.10.00-5, 45.31.12.00-3.", Przetarg ograniczony," 1687750,52 PLN.", 6.," 1116277,29"," 1116277,29 "," 2104046,31","TP TELTECH Sp. z o.o., ul. T. Kosciuszki 5/7, 90-418 £Ûdü, kraj/woj. ≥Ûdzkie."
 141771 - 2015, Rejonowy Zarzπd Infrastruktury, Roboty budowlane.," 45.00.00.00-7, 45.31.53.00-1, 45.31.11.00-1, 45.21.60.00-4, 45.21.62.00-6, 45.23.24.60-4.", Przetarg ograniczony," 5946236,70 PLN.", 4.," 6240000,00"," 6240000,00 "," 12269266,11","FADBET S. A., ul. 42 Pu≥k Piechoty 46, 15-181 Bia≥ystok, kraj/woj. podlaskie."
 254082 - 2015, ålπski Urzπd WojewÛdzki w Katowicach, Roboty budowlane.," 45.40.00.00-7, 45.33.00.00-9, 45.31.12.00-2, 45.33.12.00-8, 35.12.17.00-5.", Przetarg ograniczony," 296704,98 PLN.", 2.," 285207,53"," 285207,53 "," 359038,62","BRADEX Tomasz Barszcz, ul. Warszawska 18, 05-200 Wo≥omin, kraj/woj. mazowieckie."
 254168 - 2015, Kliniczny Szpital WojewÛdzki Nr 2 im. åw. Jadwigi KrÛlowej w Rzeszowie, Roboty budowlane., 45.21.51.40-0., Przetarg ograniczony," 5753367,97 PLN.", 3.," 3656783,15"," 3653039,41 "," 4231200,00","PBI BUDOMAX, Bia≥y, Kuüniar Sp. Jawna, ul. JagieloÒska 9, 35-025 RzeszÛw, kraj/woj. podkarpackie."
 254318 - 2015, Resortowe Centrum Zarzπdzania Sieciami i Us≥ugami Teleinformatycznymi, Roboty budowlane.," 45.23.10.00-5, 45.31.43.20-0, 45.31.12.00-3.", Przetarg ograniczony," 785638,66 PLN.", 5.," 720389,40"," 720389,40 "," 998575,39","TP Teltech Sp. z o.o., Al. T. Koúciuszki 5/7, 90-418 £Ûdü, kraj/woj. ≥Ûdzkie."
 142079 - 2015, Urzπd Miejski O≥awa, Roboty budowlane.," 45.23.31.20-6, 45.23.21.30-2, 45.31.61.10-9.", Przetarg ograniczony," 1325870,20 PLN.", 6.," 951414,14"," 951414,14 "," 1340000,00","PrzedsiÍbiorstwo RobÛt Drogowo - Mostowych sp. z o.o., ul. O≥awska 26a, 49-300 Brzeg, kraj/woj. opolskie."
 256898 - 2015, Gmina åwierklany, Roboty budowlane.," 45.21.00.00-2, 45.10.00.00-8, 45.26.25.00-6, 45.32.00.00-6, 45.26.12.10-9, 45.42.00.00-7, 45.42.11.46-9, 45.41.00.00-4, 45.31.31.00-5, 45.11.27.10-5, 45.11.12.00-0, 45.22.35.00-1, 45.22.32.00-8, 45.22.31.00-7, 45.33.24.00-7, 45.33.22.00-5, 45.33.30.00-0, 45.33.11.10-0, 45.33.11.00-7, 45.33.12.10-1, 45.33.12.20-4.", Przetarg ograniczony," 11961177,40 PLN.", 1.," 14285909,78"," 14285909,78 "," 14285909,78","PrzedsiÍbiorstwo Budowlane DOMBUD S.A., ul. Drzyma≥y 15, 40-059 Katowice, kraj/woj. úlπskie."
 258268 - 2015, Ma≥opolski Urzπd WojewÛdzki w Krakowie, Roboty budowlane.," 45.00.00.00-7, 45.10.00.00-8, 45.21.00.00-2, 45.32.00.00-6, 45.40.00.00-1.", Przetarg ograniczony," 324796,75 PLN.", 2.," 421892,32"," 421892,32 "," 462914,47","Zak≥ad Us≥ugowy ELMI Mieczys≥aw Grzechynka, ul. Mickiewicza 9B, 34-200 Sucha Beskidzka, kraj/woj. ma≥opolskie."
 258892 - 2015, Resortowe Centrum Zarzπdzania Sieciami i Us≥ugami Teleinformatycznymi, Roboty budowlane.," 45.31.43.20-0, 45.23.10.00-5, 45.31.12.00-3, 45.31.20.00-7.", Przetarg ograniczony," 1007381,76 PLN.", 5.," 1057797,60"," 1057797,60 "," 1236272,78","Control Net Sp. z o.o., ul. MetalowcÛw 9, 54-156 Wroc≥aw, kraj/woj. dolnoúlπskie."
 260562 - 2015, Resortowe Centrum Zarzπdzania Sieciami i Us≥ugami Teleinformatycznymi, Roboty budowlane.," 45.31.43.20-0, 45.23.10.00-5, 45.31.12.00-3.", Przetarg ograniczony," 4984850,00 PLN.", 4.," 4653446,53"," 4653446,53 "," 6032777,29","SPRINT S.A., ul. JagielloÒczyka 26, 10-062 Olsztyn, kraj/woj. warmiÒsko-mazurskie."
 145819 - 2015, Urzπd Miejski O≥awa, Roboty budowlane.," 45.21.00.00-2, 45.21.42.10-5.", Przetarg ograniczony," 538251,31 PLN.", 4.," 559887,34"," 559887,34 "," 610634,21","BUDOM Sylwia Szer≥omska - Zdzieb≥o, ul. KamieÒskiego 120/1, 51-124 Wroc≥aw, kraj/woj. dolnoúlπskie."
 263974 - 2015, Urzπd Miejski w Wo≥owie, Roboty budowlane.," 45.23.31.42-6, 45.23.32.20-7.", Przetarg ograniczony," 766303,91 PLN.", 5.," 872643,36"," 872643,36 "," 1059147,45","Zak≥ad RobÛt Drogowych, Mostowych i OgÛlnobudowlanych ZADROBUD II K. Tomczak, S. Tomczak SpÛ≥ka Jawna, ul . åcinawska 28, 56-100 Wo≥Ûw, kraj/woj. dolnoúlπskie."
 146951 - 2015, S≥uøba Kontrwywiadu Wojskowego, Roboty budowlane.," 45.30.00.00-0, 45.21.33.16-1, 45.31.00.00-3, 45.31.10.00-0, 45.31.21.00-8, 45.31.22.00-9, 71.32.00.00-7.", Przetarg ograniczony," 800000,00 PLN.", 2.," 749000,00"," 749000,00 "," 822884,16","QUMAK S.A., Al. Jerozolimskie 134, 02-305 Warszawa, kraj/woj. mazowieckie."
 270592 - 2015, Resortowe Centrum Zarzπdzania Sieciami i Us≥ugami Teleinformatycznymi, Roboty budowlane.," 45.31.43.20-0, 45.31.00.00-3, 45.23.10.00-5.", Przetarg ograniczony," 3160145,52 PLN.", 4.," 2328772,04"," 2328772,04 "," 3776761,60","Comp S.A., ul. Jutrzenki 116, 02-230 Warszawa, kraj/woj. mazowieckie."
 272556 - 2015, ZespÛ≥ Ø≥obkÛw m.st. Warszawy, Roboty budowlane.," 45.00.00.00-7, 45.40.00.00-1, 45.30.00.00-0.", Przetarg ograniczony," 4552286,51 PLN.", 4.," 3514109,14"," 2538131,30 "," 3799724,23","PPHU Arcus Arkadiusz Masny, ul. Witosa 17, 05-430 CelestynÛw, kraj/woj. mazowieckie."
 275896 - 2015, S≥uøba Kontrwywiadu Wojskowego, Roboty budowlane.," 45.00.00.00-0, 45.33.00.00-9, 45.30.00.00-0, 45.31.73.00-5.", Przetarg ograniczony," 4862304,19 PLN.", 4.," 3706544,19"," 3706544,19 "," 4550946,59","LIDER KONSORCJUM Us≥ugi Remontowo-Budowlane Piotr PRZYBYSZ, ul. Husarska 17 m 20, 05-120 Legionowo, kraj/woj. mazowieckie."
 276442 - 2015, Rejonowy Zarzπd Infrastruktury Zielona GÛra, Roboty budowlane., 45.00.00.00-7., Przetarg ograniczony," 236747,97 PLN.", 1.," 242173,10"," 242173,10 "," 242173,10","KONSORCJUM:Lider PPHU PK TECH PRZEMYS£AW KUREK, Os. Winiary 30, 60-655 PoznaÒ, kraj/woj. wielkopolskie."
 153001 - 2015, Zamek KrÛlewski na Wawelu - PaÒstwowe Zbiory Sztuki, Roboty budowlane.," 45.26.25.00-6, 45.30.00.00-0, 45.31.00.00-3, 45.33.00.00-9, 45.33.10.00-6, 45.33.11.00-7, 45.40.00.00-1, 45.42.00.00-7, 45.43.21.14-6, 45.41.00.00-4, 45.44.00.00-3, 45.31.43.00-4, 45.31.21.00-8, 45.31.22.00-9, 45.31.31.00-5, 92.52.22.00-8.", Przetarg ograniczony," 4747080,75 PLN.", 3.," 5785348,76"," 5785348,76 "," 7963952,12","STAMBUD Sp. z o. o., ul. Podlas 11 Nawojowa GÛra, 32-065 Krzeszowice, kraj/woj. ma≥opolskie."
 153947 - 2015, Centrum Us≥ug WspÛlnych, Roboty budowlane.," 31.32.12.10-7, 45.31.43.10-7, 45.23.00.00-8, 45.11.21.00-6, 45.23.31.42-6.", Przetarg ograniczony," 848420,00 PLN.", 2.," 918367,20"," 918367,20 "," 968372,00","Janusz Legat LEGAT-ELTEL,, ul. Improwizacji 5, 01-992 Warszawa, kraj/woj. mazowieckie."
 154315 - 2015, Wojskowy Zarzπd Infrastruktury w Poznaniu, Roboty budowlane., 45.00.00.00-7., Przetarg ograniczony," 6831201,29 PLN.", 7.," 6349435,12"," 5033228,24 "," 7736902,75","SKANSKA S. A., ul. Gen. J. Zajπczka, 01-518 Warszawa, kraj/woj. mazowieckie."
 133701 - 2015, Generalna Dyrekcja DrÛg Krajowych i Autostrad Oddzia≥ w Olsztynie, Roboty budowlane.," 45.32.10.00-3, 45.44.30.00-4, 45.41.00.00-4, 45.42.11.32-8, 45.33.11.00-7.", Przetarg ograniczony," 1358658,54 PLN.", 1.," 1043783,41"," 1043783,41 "," 1043783,41","PrzedsiÍbiorstwo Budownictwa OgÛlnego BUDOPRZEM Sp. z o.o., ul. Orkana 5b, 10-012 Olsztyn, kraj/woj. warmiÒsko-mazurskie."
 133943 - 2015, S≥uøba Kontrwywiadu Wojskowego, Roboty budowlane., 45.00.00.00-7., Przetarg ograniczony," 2050175,99 PLN.", 5.," 1448516,34"," 1239083,27 "," 2344232,53","PrzedsiÍbiorstwo Budowlano-Us≥ugowo-Handlowe AGAT Sp. z o.o., ul. Domaszowska 106, 25-320 Kielce, kraj/woj. úwiÍtokrzyskie."
 134771 - 2015, Rejonowy Zarzπd Infrastruktury, Roboty budowlane.," 45.00.00.00-7, 45.33.00.00-9, 45.31.00.00-3.", Przetarg ograniczony," 6689280,11 PLN.", 4.," 6468847,39"," 6468847,39 "," 8117700,00","Zak≥ad Techniczno-Budowlany POLBAU Sp. z o. o., ul. Grunwaldzka 25, 45-054 Opole, kraj/woj. dolnoúlπskie."
 237314 - 2015, Rejonowy Zarzπd Infrastruktury, Roboty budowlane., 45.00.00.00-7., Przetarg ograniczony," 12930565,85 PLN.", 3.," 11915091,02"," 11915091,02 "," 12170358,00","Konsorcjum firm: ZBIKO KONSTRUKCJE-SERWIS Sp. z o.o. B&W Us≥ugi OgÛlnobudowlane B. Dzidkowska, ul. Domeyki 1, 80-124 GdaÒsk, kraj/woj. pomorskie."
 238582 - 2015, Gmina WrÍczyca Wielka, Roboty budowlane., 45.21.22.12-5., Przetarg ograniczony," 720306,22 PLN.", 3.," 706970,00"," 706970,00 "," 1992243,67","Konsorcjum firm: Firma Mazur Sp. z o.o. Sp.K.-lider konsorcjum, Firma Mazur Piotr Mazur-partner konsorcjum, ul. Szyby Rycerskie 1, 41-909 Bytom, kraj/woj. úlπskie."
 239890 - 2015, Zarzπd DrÛg Powiatowych w Poznaniu, Roboty budowlane., 45.23.32.20-7., Przetarg ograniczony," 1500044,98 PLN.", 5.," 1049593,93"," 1049593,93 "," 1469111,88","Zak≥ad Wielobranøowy TRANS-BRUK Marek Begier, ul. Wiosny LudÛw 58, 62-330 Nekla, kraj/woj. wielkopolskie."
 135827 - 2015, Wojskowy Zarzπd Infrastruktury w Poznaniu, Roboty budowlane., 45.00.00.00-7., Przetarg ograniczony," 519111,16 PLN.", 2.," 488951,14"," 488951,14 "," 516951,00","MAWILUX S.A., £ady ul Grudzi 23, Raszyn, kraj/woj. Polska."
